semilla;corte;ganancia;metrica;modelo
430979;10000;57,887;57,887;sin FE
430979;10500;58,517;58,517;sin FE
430979;11000;57,857;57,857;sin FE
430979;11500;58,627;58,627;sin FE
430979;12000;58,607;58,607;sin FE
430979;12500;57,507;57,507;sin FE
430979;13000;56,567;56,567;sin FE
239171;9000;55,857;55,857;sin FE
239171;9500;57,177;57,177;sin FE
239171;10000;57,337;57,337;sin FE
239171;10500;58,627;58,627;sin FE
239171;11000;58,267;58,267;sin FE
239171;11500;58,827;58,827;sin FE
239171;12000;59,317;59,317;sin FE
239171;12500;60,287;60,287;sin FE
239171;13000;60,457;60,457;sin FE
214531;9000;55,197;55,197;sin FE
214531;9500;54,907;54,907;sin FE
214531;10000;56,497;56,497;sin FE
214531;10500;57,317;57,317;sin FE
214531;11000;56,367;56,367;sin FE
214531;11500;56,507;56,507;sin FE
214531;12000;56,667;56,667;sin FE
214531;12500;57,267;57,267;sin FE
214531;13000;58,147;58,147;sin FE
311447;9000;56,447;56,447;sin FE
311447;9500;56,037;56,037;sin FE
311447;10000;56,877;56,877;sin FE
311447;10500;55,487;55,487;sin FE
311447;11000;55,947;55,947;sin FE
311447;11500;55,047;55,047;sin FE
311447;12000;57,577;57,577;sin FE
311447;12500;56,927;56,927;sin FE
311447;13000;55,747;55,747;sin FE
480979;9000;56,257;56,257;sin FE
480979;9500;56,857;56,857;sin FE
480979;10000;58,077;58,077;sin FE
480979;10500;58,607;58,607;sin FE
480979;11000;58,417;58,417;sin FE
480979;11500;58,117;58,117;sin FE
480979;12000;58,057;58,057;sin FE
480979;12500;58,637;58,637;sin FE
480979;13000;58,017;58,017;sin FE
388163;9000;55,937;55,937;sin FE
388163;9500;56,527;56,527;sin FE
388163;10000;56,597;56,597;sin FE
388163;10500;56,847;56,847;sin FE
388163;11000;56,087;56,087;sin FE
388163;11500;56,707;56,707;sin FE
388163;12000;57,847;57,847;sin FE
388163;12500;58,717;58,717;sin FE
388163;13000;58,447;58,447;sin FE
959869;9000;55,467;55,467;sin FE
959869;9500;55,567;55,567;sin FE
959869;10000;55,947;55,947;sin FE
